Continente,CountryName,Portge_voto_pgob,Portge_voto_gob,Diferencia_voto,Portge_voto_pganador,Prtdo_ganador,Date_elec,wave,StringencyIndex,EconomicSupportIndex,Crecimiento,Muertes_Cov_19,Inflacion_2020,Inflacion_2021,Tipo_elec,Tipo,Exces_mor,Date_elec,bed_1000
3,Georgia,48.6,48.15 ,-0.45,48.15 ,0,31/10/2020,0,55.56,37.5,-6.605768592,307,5.20246489,9.566914338,0,0,13.79,31/10/2020,2.6
0,Germany,32.93,24.07,-8.86,25.74,1,26/09/2021,1,54.63,37.5,-4.738789048,93393,0.50668989,3.142969673,0,0,7.97,26/09/2021,8
0,Germany,74.3,70.99,-3.31,70.99,0,13/02/2022,2,38.67,100,-4.738789048,119679,0.50668989,3.142969673,2,0,-3.14,13/02/2022,8
1,Ghana,53.85 ,51.30 ,-2.55,51.30 ,0,07/12/2020,0,38.89,0,-1.702517021,325,9.887289563,9.971088675,1,1,10.8,07/12/2020,0.9
5,Granada,58.91,47.76,-11.15,51.84,1,23/06/2022,2,29.38,0,-14.10422464,232,-0.740732597,1.219511939,0,0,2.5,23/06/2022,3.7
2,Guyana,50.29 ,47.34,-2.95,50.69 ,1,02/03/2020,0,13.89,0,42.78930049,1,0.993337023,5.032855746,0,1,12.5,02/03/2020,1.6
2,Honduras,42.95,36.93,-6.02,51.12,1,28/11/2021,1,65.02,62.5,-10.42150115,10402,3.46841178,4.480879634,1,1,11.3,28/11/2021,0.7
0,Hungary,49.27 ,54.10 ,4.83,54.10 ,0,03/04/2022,2,11.11,87.5,-4.466672357,45510,3.326743858,5.110965344,0,0,7.21,03/04/2022,7.02
0,Iceland,25.2 ,24.4 ,-0.8,24.4 ,0,25/09/2021,1,32.41,100,-7.999645528,33,2.847924015,4.444239702,0,0,-24.88,25/09/2021,2.91
3,Irak,14.38,10,-4.38,19.05,1,10/10/2021,1,75.93,37.5,-17.58660744,22563,0.574162679,6.041864891,0,0,25.3,10/10/2021,1.4
0,Ireland,25.5 ,20.9 ,-4.6,24.5 ,1,08/02/2020,0,5.56,0,4.587090685,,-0.334584625,2.358142962,0,0,1.74,08/02/2020,2.96
3,Israel,29.46,24.2,-5.26,24.2,0,23/03/2021,1,60.19,75,-3.882774202,6122,-0.5884303,1.492288454,0,0,11.46,23/03/2021,2.99
3,Israel,24.19,23.41,-0.78,23.41,0,01/11/2022,2,14.81,75,-3.882774202,8274,-0.5884303,1.492288454,0,0,3.27,01/11/2022,2.99
3,Israel,25.9,26.59,0.69,29.46,1,02/03/2020,0,19.44,0,-3.882774202,0,-0.5884303,1.492288454,0,0,-8.15,02/03/2020,2.99
0,Italia,32.68,15.43,-17.25,26,1,25/09/2022,2,18.29,25,-8.670919099,176880,-0.137707574,1.873783258,0,0,5.49,25/09/2022,3.18
2,Jamaica,50.1 ,57.07 ,6.97,57.07 ,0,03/09/2020,0,78.7,50,-10.39158965,29,5.226777793,,0,0,7.57,03/09/2020,1.7
3,Japan,33.27 ,34.66 ,1.39,34.66 ,0,31/10/2021,1,35.19,100,-4.260289561,18264,-0.024995834,-0.233352779,0,0,1.32,31/10/2021,13.05
3,Japan,35.37,34.43,-0.94,34.43,0,10/07/2022,2,37.52,100,-4.260289561,31802,-0.024995834,-0.233352779,0,0,0.2,10/07/2022,13.05
3,Kazajistan,70.96,81.3,10.34,81.3,0,20/11/2022,2,5.6,0,-3.751691999,19053,6.749001838,,1,1,0.71,20/11/2022,4.5
3,Kazajistan,82.2,71.09,-11.11,71.09,0,10/01/2021,1,68.52,0,-3.751691999,2885,6.749001838,,2,1,1.44,10/01/2021,4.5
1,Kenia,98.26,48.85,-49.41,50.49,1,09/08/2022,2,32.37,0,-2.535856123,5672,5.404814672,6.110909164,1,1,4.1,09/08/2022,1.4
3,Kyrgyzstan,27.56 ,24.9,-2.66,17.30 ,0,04/10/2020,0,64.35,62.5,-10.49368541,1066,6.325422963,,0,1,37.36,04/10/2020,4.5
1,Lesoto,40.52,7.29,-33.23,38.81,1,07/10/2022,2,31.71,0,-10.33066867,699,4.978096763,6.04774592,0,0,11.4,07/10/2022,7.5
0,Letonia,19.8,4.81,-14.99,18.97,1,01/10/2022,2,60,11,-2.99644879,5994,0.219064905,3.275829374,0,0,,01/10/2022,34.3
0,Lithuania,22.45 ,18.07 ,-4.38,25.77 ,1,11/10/2020,0,48.61,62.5,-0.152550057,89,1.19989445,4.683544209,0,0,14.02,11/10/2020,6.56
1,Malawi,38.57 ,39.92 ,1.35,59.34 ,1,23/06/2020,0,60.19,100,-1.840967838,11,8.625514697,,1,1,17.5,23/06/2020,1.3
0,Malta,55.04,55.1,0.06,55.1,0,26/03/2022,2,44.69,37.5,-10.75854707,630,0.638544957,1.497892179,0,0,19,26/03/2022,4.485
1,Marruecos,27.88,4.3,-23.58,27.58,1,08/09/2021,1,64.81,12.5,-7.426651489,13296,0.705968661,1.40195884,0,0,1.7,08/09/2021,1.1
5,Mexico,53.19,34.1,-19.09,34.1,0,06/06/2021,1,44.44,25,-9.274229118,228804,3.396834156,5.689208477,2,1,1.7,06/06/2021,1.38
0,Moldavia,31.15,27.17,-3.98,52.8,1,11/07/2021,1,56.48,37.5,-7.4,6209,3.765971222,5.10641129,0,0,11.7,11/07/2021,5.8
3,Mongolia,38.31,6.37,-31.94,72.02,1,09/06/2021,1,53.7,50,-3.147036838,303,3.693169228,7.098564181,1,1,20.6,09/06/2021,5.8
3,Mongolia,45.12,44.93,-0.19,44.93,0,24/06/2020,0,71.3,50,-3.147036838,0,3.693169228,7.098564181,2,1,-6.63,24/06/2020,7
0,Netherlands,21.3 ,21.87,0.57,21.87,0,17/03/2021,1,75,75,-4.329611883,16192,1.272460378,2.675720088,0,0,-7.75,17/03/2021,3.32
4,New Zealand,44.45 ,25.58 ,-18.87,50.01 ,1,17/10/2020,0,22.22,87.5,-0.240800771,25,1.7145617,3.941120608,0,0,-5.85,17/10/2020,2.61
2,Nicaragua,72.44,75.92,3.48,75.92,0,07/11/2021,1,8.33,0,-1.300000154,209,3.681813416,4.928413969,1,1,75.3,07/11/2021,0.9
1,Niger,48.43,39.33,-9.1,39.33,0,27/12/2020,0,31.48,0,-0.253615444,96,2.89819376,3.837868028,1,1,10.4,27/12/2020,0.3
1,Niger,55.69,36.61,-19.08,36.61,0,25/02/2023,3,75,0,-0.253615444,315,2.89819376,3.837868028,2,1,12.9,25/02/2023,0.3
