CountryName,year,StringencyIndex,Camas_hosp,Cred_pob,Robustez_ins,densidad_pob,pob_65mayor,P10lees,Prime_risk,CDS,Defaul_spred,exs_morta,edu_terciaria,Crecimiento2,Continente,Decesos,muertes,infections,Contagios,Pib_per_prctg,Pob_extrem
Santa Lucia,2019,0,1.3,22.3,0.7025,293.187,9.721,,,,,,,-0.558717237,5,,,0,0,,
Santa Lucia,2020,70,1.3,22.3,0.6961,293.187,9.721,22.4,2,1400,4.5,0.8,0.12,-20.7352861,5,5,15,100,100,-20.73528624,1.4
Santa Lucia,2021,70,1.3,22.3,0.6858,293.187,9.721,21.8,3,1500,5,2.4,0.14,6.153046259,5,295,20,11164,11164,6.153046259,1.3
Santa Lucia,2022,75,1.3,22.3,0.7278,293.187,9.721,21.2,4,1600,5.5,1.2,0.15,2.5,5,409,18,15665,15665,5.4,1.2
Senegal,2019,0,10.9,18.7,0.4029,82.328,3.008,88.0007721,,,,,,1.775988694,1,,,0,0,,
Senegal,2020,43.52,10.9,18.7,0.4424,82.328,3.008,91.98632261,5.59,125,5.22,3.6,0.05,-1.213341926,1,402,9415,19140,19140,-1.38294226,45.8
Senegal,2021,26.85,10.9,18.7,0.4533,82.328,3.008,89.99354736,3.02,150,2.97,4.8,0.06,3.274289805,1,1890,12445,75055,75055,3.274289805,45
Senegal,2022,19.44,10.9,18.7,0.4568,82.328,3.008,90.98993498,5.31,175,4.21,1.4,0.07,2,1,1968,11395,88900,88900,4.5,44.2
Serbia,2019,0,5.609,26.5,0.5419,80.291,17.366,27.45247901,,,,,,4.893094256,0,,,0,0,,
Serbia,2020,27.78,5.609,26.5,0.5454,80.291,17.366,26.74005324,5.29,150,4.22,7.3,0.2,-0.413904468,0,3163,3341,337923,337923,-0.282578515,1.6
Serbia,2021,28.7,5.609,26.5,0.5491,80.291,17.366,27.09626613,2.52,200,2.48,3.4,0.22,8.253019752,0,12688,4431,1299339,1299339,8.253019752,1.5
Serbia,2022,36.11,5.609,26.5,0.514,80.291,17.366,26.91815969,4.21,250,3.62,23.86,0.24,2.5,0,17515,4003,2446253,2446253,2.9,1.4
Seychelles,2019,0,3.6,28.5,0.576,212.2282609,7.40089583,15.16428222,,,,,,2.176192931,1,,,0,0,,
Seychelles,2020,31.48,3.6,28.5,0.586,214.0478261,7.638112385,18.16928231,1,2000,2.7,-43.72,0.15,-11.5294348,1,10,10,226,226,-8.507936314,0.5
Seychelles,2021,70.93257534,3.6,28.5,0.6157,208.354,7.889039687,16.66678226,2,2100,2.8,.6.8,0.17,1.08717067,1,126,15,24788,24788,1.08717067,0.5
Seychelles,2022,64.42494624,3.6,28.5,0.69,208.354,7.889039687,17.41803229,3,2200,2.9,0.8,0.18,3,1,172,12,44016,44016,5.5,0.5
Singapore,2019,0,2.4,95.4,0.8234,7965.878492,12.19557804,,,,,,,-0.054554857,3,,,0,0,,
Singapore,2020,50.93,2.4,95.4,0.815,7918.951253,13.15419909,0.762967864,0.1,40,0.19,-6.07,0.7,-3.843656456,3,29,35,58599,58599,-3.843656456,0.1
Singapore,2021,49.98528767,2.4,95.4,0.8086,7915.731,14.12598811,0.713726279,0.2,35,0.15,0.4,0.73,12.19672081,3,827,57,279861,279861,12.19672081,0.1
Singapore,2022,58.47485149,2.4,95.4,0.8063,7915.731,14.12598811,0.738347072,0.3,30,0.13,0.6,0.75,2.5,3,1711,48,1310616,1310616,3.4,0.1
Slovakia,2019,0,5.82,77.7,0.7238,113.4389975,16.31628897,0.726036676,,,,,,2.466609371,0,,,0,0,,
Slovakia,2020,2.78,5.82,77.7,0.7296,113.5363353,16.82418459,5.015326356,1.25,25,1,1.6,0.2,-4.440749635,0,2138,5215,274603,274603,-3.757983454,0.5
Slovakia,2021,53.532,5.82,77.7,0.7355,113.128,17.2284439,5.628022354,0.71,20,0.7,2.8,0.22,3.239477253,0,16635,7273,1374354,1374354,2.648621825,0.5
Slovakia,2022,46.25575,5.82,77.7,0.721,113.128,17.2284439,5.321674355,1.18,15,1.02,-3.72,0.24,2,0,20823,6533,2542970,2542970,2.7,0.5
Slovenia,2019,0,4.5,68.2,0.752,103.7119346,19.69069547,0.351880973,,,,,,2.534090905,0,2984,,0,0,,
Slovenia,2020,50.01825137,4.5,68.2,0.7598,104.4088814,20.10099918,0.419657476,2.35,100,1.87,1.4,0.25,-4.868547157,0,,1854,122152,122152,-4.868547157,0.3
Slovenia,2021,51.8230411,4.5,68.2,0.7749,102.619,20.50094614,0.385769224,1.01,125,0.99,2.6,0.28,7.879139046,0,6129,2489,465711,465711,7.879139046,0.3
Slovenia,2022,22.22,4.5,68.2,0.767,102.619,20.50094614,0.40271335,1.68,150,1.44,4.24,0.3,2.5,0,8847,2289,1025656,1025656,2.6,0.3
South Korea,2019,0,12.27,94.6,0.8131,530.3772746,15.0656922,2.747920537,,,,,,1.8889146,3,,,0,0,,
